id,year,statistic,name,team,value,top_25
382,1943,Saves,Gordon Maltzberger,Chicago,14,Top 25
383,1943,Shutouts,Spud Chandler,New York,5,Top 25
384,1943,Shutouts,Dizzy Trout,Detroit,5,Top 25
385,1943,Strikeouts,Allie Reynolds,Cleveland,151,Top 25
386,1943,Winning Percentage,Spud Chandler,New York,.833,Top 25
387,1943,Wins,Spud Chandler,New York,20,Top 25
388,1944,Complete Games,Dizzy Trout,Detroit,33,Top 25
389,1944,ERA,Dizzy Trout,Detroit,2.12,Top 25
390,1944,Games,Joe Heving,Cleveland,63,Top 25
391,1944,Saves,Joe Berry,Philadelphia,12,Top 25
392,1944,Saves,George Caster,St. Louis,12,Top 25
393,1944,Saves,Gordon Maltzberger,Chicago,12,Top 25
394,1944,Shutouts,Dizzy Trout,Detroit,7,Top 25
395,1944,Strikeouts,Hal Newhouser,Detroit,187,Top 25
396,1944,Winning Percentage,Tex Hughson,Boston,.783,Top 25
397,1944,Wins,Hal Newhouser,Detroit,29,Top 25
398,1945,Complete Games,Hal Newhouser,Detroit,29,Top 25
399,1945,ERA,Hal Newhouser,Detroit,1.81,Top 25
400,1945,Games,Joe Berry,Philadelphia,52,Top 25
401,1945,Saves,Jim Turner,New York,10,Top 25
402,1945,Shutouts,Hal Newhouser,Detroit,8,Top 25
403,1945,Strikeouts,Hal Newhouser,Detroit,212,Top 25
404,1945,Winning Percentage,Hal Newhouser,Detroit,.735,Top 25
405,1945,Wins,Hal Newhouser,Detroit,25,Top 25
406,1946,Complete Games,Bob Feller,Cleveland,36,Top 25
407,1946,ERA,Hal Newhouser,Detroit,1.94,Top 25
408,1946,Games,Bob Feller,Cleveland,48,Top 25
409,1946,Saves,Bob Klinger,Boston,9,Top 25
410,1946,Shutouts,Bob Feller,Cleveland,10,Top 25
411,1946,Strikeouts,Bob Feller,Cleveland,348,Top 25
412,1946,Winning Percentage,Dave Ferriss,Boston,.806,Top 25
413,1946,Wins,Bob Feller,Cleveland,26,Top 25
414,1947,Complete Games,Hal Newhouser,Detroit,24,Top 25
415,1947,ERA,Joe Haynes,Chicago,2.42,Top 25
416,1947,Games,Ed Klieman,Cleveland,58,Top 25
417,1947,Saves,Ed Klieman,Cleveland,17,Top 25
418,1947,Saves,Joe Page,New York,17,Top 25
419,1947,Shutouts,Bob Feller,Cleveland,5,Top 25
420,1947,Strikeouts,Bob Feller,Cleveland,196,Top 25
421,1947,Winning Percentage,Allie Reynolds,New York,.704,Top 25
422,1948,Complete Games,Bob Lemon,Cleveland,20,Top 25
423,1948,ERA,Gene Bearden,Cleveland,2.43,Top 25
424,1948,Games,Joe Page,New York,55,Top 25
425,1948,Saves,Russ Christopher,Cleveland,17,Top 25
426,1948,Shutouts,Bob Lemon,Cleveland,10,Top 25
427,1948,Strikeouts,Bob Feller,Cleveland,164,Top 25
428,1948,Winning Percentage,Jack Kramer,Boston,.783,Top 25
429,1949,Complete Games,Mel Parnell,Boston,27,Top 25
430,1949,ERA,Mike Garcia,Cleveland,2.36,Top 25
431,1949,Games,Joe Page,New York,60,Top 25
432,1949,Saves,Joe Page,New York,27,Top 25
433,1949,Shutouts,Ellis Kinder,Boston,6,Top 25
434,1949,Shutouts,Virgil Trucks,Detroit,6,Top 25
435,1949,Strikeouts,Virgil Trucks,Detroit,153,Top 25
436,1949,Winning Percentage,Ellis Kinder,Boston,.793,Top 25
437,1950,Complete Games,Ned Garver,St. Louis,22,Top 25
438,1950,Complete Games,Bob Lemon,Cleveland,22,Top 25
439,1950,ERA,Early Wynn,Cleveland,3.20,Top 25
440,1950,Games,Mickey Harris,Washington,53,Top 25
441,1950,Saves,Mickey Harris,Washington,15,Top 25
442,1950,Shutouts,Art Houtteman,Detroit,4,Top 25
443,1950,Strikeouts,Bob Lemon,Cleveland,170,Top 25
444,1950,Winning Percentage,Vic Raschi,New York,.724,Top 25
445,1950,Wins,Bob Lemon,Cleveland,23,Top 25
446,1951,Complete Games,Ned Garver,St. Louis,24,Top 25
447,1951,ERA,Saul Rogovin,Detroit,2.78,Top 25
448,1951,ERA,Saul Rogovin,Chicago,2.78,Top 25
449,1951,Games,Ellis Kinder,Boston,63,Top 25
450,1951,Saves,Ellis Kinder,Boston,14,Top 25
451,1951,Shutouts,Allie Reynolds,New York,7,Top 25
452,1951,Strikeouts,Vic Raschi,New York,164,Top 25
453,1951,Winning Percentage,Bob Feller,Cleveland,.733,Top 25
454,1951,Wins,Bob Feller,Cleveland,22,Top 25
455,1952,Complete Games,Bob Lemon,Cleveland,28,Top 25
456,1952,ERA,Allie Reynolds,New York,2.06,Top 25
457,1952,Games,Bill Kennedy,Chicago,47,Top 25
