id,year,statistic,name,team,value,top_25
433,1935,,Hank Greenberg,Detroit,36.0,Top 25
434,1935,,Lou Gehrig,New York,0.466,Top 25
435,1935,,Hank Greenberg,Detroit,170.0,Top 25
436,1935,,Lou Gehrig,New York,125.0,Top 25
437,1935,,Jimmie Foxx,Philadelphia,0.636,Top 25
438,1935,,Billy Werber,Boston,29.0,Top 25
439,1935,,Hank Greenberg,Detroit,389.0,Top 25
440,1935,,Joe Vosmik,Cleveland,20.0,Top 25
441,1936,,Lou Gehrig,New York,130.0,Top 25
442,1936,,Luke Appling,Chicago,0.388,Top 25
443,1936,,Charlie Gehringer,Detroit,60.0,Top 25
444,1936,,Earl Averill,Cleveland,232.0,Top 25
445,1936,,Lou Gehrig,New York,49.0,Top 25
446,1936,,Lou Gehrig,New York,0.478,Top 25
447,1936,,Hal Trosky,Cleveland,162.0,Top 25
448,1936,,Lou Gehrig,New York,167.0,Top 25
449,1936,,Lou Gehrig,New York,0.696,Top 25
450,1936,,Lyn Lary,St. Louis,37.0,Top 25
451,1936,,Hal Trosky,Cleveland,405.0,Top 25
452,1936,,Earl Averill,Cleveland,18.0,Top 25
453,1936,,Joe DiMaggio,New York,18.0,Top 25
454,1936,,Red Rolfe,New York,18.0,Top 25
455,1937,,Lou Gehrig,New York,127.0,Top 25
456,1937,,Charlie Gehringer,Detroit,0.371,Top 25
457,1937,,Beau Bell,St. Louis,51.0,Top 25
458,1937,,Beau Bell,St. Louis,218.0,Top 25
459,1937,,Joe DiMaggio,New York,46.0,Top 25
460,1937,,Lou Gehrig,New York,0.473,Top 25
461,1937,,Hank Greenberg,Detroit,183.0,Top 25
462,1937,,Joe DiMaggio,New York,151.0,Top 25
463,1937,,Joe DiMaggio,New York,0.673,Top 25
464,1937,,Ben Chapman,Washington,35.0,Top 25
465,1937,,Ben Chapman,Boston,35.0,Top 25
466,1937,,Billy Werber,Philadelphia,35.0,Top 25
467,1937,,Joe DiMaggio,New York,418.0,Top 25
468,1937,,Mike Kreevich,Chicago,16.0,Top 25
469,1938,,Jimmie Foxx,Boston,119.0,Top 25
470,1938,,Hank Greenberg,Detroit,119.0,Top 25
471,1938,,Jimmie Foxx,Boston,0.349,Top 25
472,1938,,Joe Cronin,Boston,51.0,Top 25
473,1938,,Joe Vosmik,Boston,201.0,Top 25
474,1938,,Hank Greenberg,Detroit,58.0,Top 25
475,1938,,Jimmie Foxx,Boston,0.462,Top 25
476,1938,,Jimmie Foxx,Boston,175.0,Top 25
477,1938,,Hank Greenberg,Detroit,144.0,Top 25
478,1938,,Jimmie Foxx,Boston,0.704,Top 25
479,1938,,Frankie Crosetti,New York,27.0,Top 25
480,1938,,Jimmie Foxx,Boston,398.0,Top 25
481,1939,,Harlond Clift,St. Louis,111.0,Top 25
482,1939,,Joe DiMaggio,New York,0.381,Top 25
483,1939,,Red Rolfe,New York,46.0,Top 25
484,1939,,Red Rolfe,New York,213.0,Top 25
485,1939,,Jimmie Foxx,Boston,35.0,Top 25
486,1939,,Jimmie Foxx,Boston,0.464,Top 25
487,1939,,Ted Williams,Boston,145.0,Top 25
488,1939,,Red Rolfe,New York,139.0,Top 25
489,1939,,Jimmie Foxx,Boston,0.694,Top 25
490,1939,,George Case,Washington,51.0,Top 25
491,1939,,Ted Williams,Boston,344.0,Top 25
492,1940,,Charlie Keller,New York,106.0,Top 25
493,1940,,Joe DiMaggio,New York,0.352,Top 25
494,1940,,Hank Greenberg,Detroit,50.0,Top 25
495,1940,,Doc Cramer,Boston,200.0,Top 25
