id,year,statistic,team,value
id,year,statistic,Team,
551,1976,Fewest Hits Allowed,New York,1.0
552,1976,Fewest Home Runs Allowed,Baltimore,90.0
553,1976,Fewest Home Runs Allowed,Cleveland,90.0
554,1976,Fewest Walks Allowed,Boston,409.0
555,1976,Saves,Cleveland,46.0
556,1977,Complete Games,Baltimore,65.0
557,1977,ERA,Kansas City,3.52
558,1977,Fewest Hits Allowed,Kansas City,1.0
559,1977,Fewest Home Runs Allowed,Kansas City,110.0
560,1977,Fewest Walks Allowed,Boston,378.0
561,1977,Saves,Kansas City,42.0
562,1978,Complete Games,Baltimore,65.0
563,1978,ERA,New York,3.18
564,1978,Fewest Hits Allowed,New York,1.0
565,1978,Fewest Home Runs Allowed,Cleveland,100.0
566,1978,Fewest Walks Allowed,Milwaukee,398.0
567,1978,Saves,New York,36.0
568,1978,Shutouts,Milwaukee,19.0
569,1979,Complete Games,Milwaukee,61.0
570,1979,ERA,Baltimore,3.26
571,1979,Fewest Hits Allowed,Baltimore,1.0
572,1979,Fewest Home Runs Allowed,Chicago,114.0
573,1979,Fewest Walks Allowed,Milwaukee,381.0
574,1979,Saves,Texas,42.0
575,1979,Shutouts,Baltimore,12.0
576,1980,Complete Games,Oakland,94.0
577,1980,ERA,Oakland,3.46
578,1980,Fewest Hits Allowed,Oakland,1.0
579,1980,Fewest Home Runs Allowed,New York,102.0
580,1980,Fewest Walks Allowed,Milwaukee,420.0
581,1980,Saves,New York,50.0
582,1981,Complete Games,Oakland,60.0
583,1981,ERA,New York,2.9
584,1981,Fewest Hits Allowed,New York,827.0
585,1981,Fewest Home Runs Allowed,New York,64.0
586,1981,Fewest Walks Allowed,Kansas City,273.0
587,1981,Saves,Milwaukee,35.0
588,1981,Shutouts,Detroit,13.0
589,1981,Shutouts,New York,13.0
590,1982,Complete Games,Detroit,45.0
591,1982,ERA,Detroit,3.8
592,1982,Fewest Hits Allowed,Detroit,1.0
593,1982,Fewest Home Runs Allowed,Chicago,99.0
594,1982,Fewest Walks Allowed,Chicago,460.0
595,1982,Saves,Milwaukee,47.0
596,1983,Complete Games,New York,47.0
597,1983,ERA,Texas,3.31
598,1983,Fewest Hits Allowed,Detroit,1.0
599,1983,Fewest Home Runs Allowed,Texas,97.0
600,1983,Fewest Walks Allowed,Chicago,447.0
601,1983,Saves,Kansas City,49.0
602,1984,Complete Games,Baltimore,48.0
603,1984,ERA,Detroit,3.49
604,1984,Fewest Hits Allowed,Detroit,1.0
605,1984,Fewest Home Runs Allowed,New York,120.0
606,1984,Fewest Walks Allowed,Kansas City,433.0
607,1984,Saves,Detroit,51.0
608,1985,Complete Games,Minnesota,41.0
609,1985,ERA,Toronto,3.31
610,1985,Fewest Hits Allowed,Toronto,1.0
611,1985,Fewest Home Runs Allowed,Kansas City,103.0
612,1985,Fewest Walks Allowed,Minnesota,462.0
613,1985,Saves,New York,49.0
614,1985,Shutouts,Detroit,11.0
615,1986,Complete Games,Minnesota,39.0
616,1986,ERA,Kansas City,3.82
617,1986,Fewest Hits Allowed,Oakland,1.0
618,1986,Fewest Home Runs Allowed,Kansas City,121.0
