id,year,statistic,name,team,value,top_25
234,1926,,George Uhle,Cleveland,32.0,Top 25
235,1926,,Lefty Grove,Philadelphia,2.51,Top 25
236,1926,,Firpo Marberry,Washington,64.0,Top 25
237,1926,,Firpo Marberry,Washington,22.0,Top 25
238,1926,,Ed Wells,Detroit,4.0,Top 25
239,1926,,Lefty Grove,Philadelphia,194.0,Top 25
240,1926,,George Uhle,Cleveland,0.711,Top 25
241,1927,,Ted Lyons,Chicago,30.0,Top 25
242,1927,,Wilcy Moore,New York,2.28,Top 25
243,1927,,Garland Braxton,Washington,58.0,Top 25
244,1927,,Garland Braxton,Washington,13.0,Top 25
245,1927,,Wilcy Moore,New York,13.0,Top 25
246,1927,,Hod Lisenbee,Washington,4.0,Top 25
247,1927,,Lefty Grove,Philadelphia,174.0,Top 25
248,1927,,Waite Hoyt,New York,0.759,Top 25
249,1927,,Waite Hoyt,New York,22.0,Top 25
250,1927,,Ted Lyons,Chicago,22.0,Top 25
251,1928,,Red Ruffing,Boston,25.0,Top 25
252,1928,,Garland Braxton,Washington,2.51,Top 25
253,1928,,Firpo Marberry,Washington,48.0,Top 25
254,1928,,Waite Hoyt,New York,8.0,Top 25
255,1928,,Herb Pennock,New York,5.0,Top 25
256,1928,,Lefty Grove,Philadelphia,183.0,Top 25
257,1928,,Alvin Crowder,St. Louis,0.808,Top 25
258,1928,,Lefty Grove,Philadelphia,24.0,Top 25
259,1929,,Tommy Thomas,Chicago,24.0,Top 25
260,1929,,Lefty Grove,Philadelphia,2.81,Top 25
261,1929,,Firpo Marberry,Washington,49.0,Top 25
262,1929,,Firpo Marberry,Washington,11.0,Top 25
263,1929,,George Blaeholder,St. Louis,5.0,Top 25
264,1929,,Alvin Crowder,St. Louis,5.0,Top 25
265,1929,,Dolly Gray,St. Louis,5.0,Top 25
266,1929,,Danny MacFayden,Boston,5.0,Top 25
267,1929,,Lefty Grove,Philadelphia,170.0,Top 25
268,1929,,Lefty Grove,Philadelphia,0.769,Top 25
269,1930,,Ted Lyons,Chicago,29.0,Top 25
270,1930,,Lefty Grove,Philadelphia,2.54,Top 25
271,1930,,Lefty Grove,Philadelphia,50.0,Top 25
272,1930,,Lefty Grove,Philadelphia,9.0,Top 25
273,1930,,Clint Brown,Cleveland,3.0,Top 25
274,1930,,George Earnshaw,Philadelphia,3.0,Top 25
275,1930,,George Pipgras,New York,3.0,Top 25
276,1930,,Lefty Grove,Philadelphia,209.0,Top 25
