id,year,statistic,name,team,value,top_25
242,1919,Stolen Bases,Eddie Collins,Chicago,33,Top 25
243,1919,Total Bases,Babe Ruth,Boston,284,Top 25
244,1919,Triples,BobbyVeach,Detroit,17,Top 25
245,1920,Base on Balls,Babe Ruth,New York,150,Top 25
246,1920,Batting Average,George Sisler,St. Louis,.407,Top 25
247,1920,Doubles,Tris Speaker,Cleveland,50,Top 25
248,1920,Hits,George Sisler,St. Louis,257,Top 25
249,1920,Home Runs,Babe Ruth,New York,54,Top 25
250,1920,On Base Percentage,Babe Ruth,New York,.532,Top 25
251,1920,RBI,Babe Ruth,New York,137,Top 25
252,1920,Runs,Babe Ruth,New York,158,Top 25
253,1920,Slugging Average,Babe Ruth,New York,.847,Top 25
254,1920,Stolen Bases,Sam Rice,Washington,63,Top 25
255,1920,Total Bases,George Sisler,St. Louis,399,Top 25
256,1920,Triples,Joe Jackson,Chicago,20,Top 25
257,1921,Base on Balls,Babe Ruth,New York,145,Top 25
258,1921,Batting Average,Harry Heilmann,Detroit,.394,Top 25
259,1921,Doubles,Tris Speaker,Cleveland,52,Top 25
260,1921,Hits,Harry Heilmann,Detroit,237,Top 25
261,1921,Home Runs,Babe Ruth,New York,59,Top 25
262,1921,On Base Percentage,Babe Ruth,New York,.512,Top 25
263,1921,RBI,Babe Ruth,New York,171,Top 25
264,1921,Runs,Babe Ruth,New York,177,Top 25
265,1921,Slugging Average,Babe Ruth,New York,.846,Top 25
266,1921,Stolen Bases,George Sisler,St. Louis,35,Top 25
267,1921,Total Bases,Babe Ruth,New York,457,Top 25
268,1921,Triples,Howie Shanks,Washington,18,Top 25
269,1921,Triples,George Sisler,St. Louis,18,Top 25
270,1921,Triples,Jack Tobin,St. Louis,18,Top 25
271,1922,Base on Balls,Whitey Witt,New York,89,Top 25
272,1922,Batting Average,George Sisler,St. Louis,.420,Top 25
273,1922,Doubles,Tris Speaker,Cleveland,48,Top 25
274,1922,Hits,George Sisler,St. Louis,246,Top 25
275,1922,Home Runs,Ken Williams,St. Louis,39,Top 25
276,1922,On Base Percentage,Tris Speaker,Cleveland,.474,Top 25
277,1922,RBI,Ken Williams,St. Louis,155,Top 25
278,1922,Runs,George Sisler,St. Louis,134,Top 25
279,1922,Slugging Average,Babe Ruth,New York,.672,Top 25
280,1922,Stolen Bases,George Sisler,St. Louis,51,Top 25
281,1922,Total Bases,Ken Williams,St. Louis,367,Top 25
282,1922,Triples,George Sisler,St. Louis,18,Top 25
283,1923,Base on Balls,Babe Ruth,New York,170,Top 25
284,1923,Batting Average,Harry Heilmann,Detroit,.403,Top 25
285,1923,Doubles,Tris Speaker,Cleveland,59,Top 25
286,1923,Hits,Charlie Jamieson,Cleveland,222,Top 25
287,1923,Home Runs,Babe Ruth,New York,41,Top 25
288,1923,On Base Percentage,Babe Ruth,New York,.545,Top 25
289,1923,RBI,Babe Ruth,New York,131,Top 25
290,1923,Runs,Babe Ruth,New York,151,Top 25
291,1923,Slugging Average,Babe Ruth,New York,.764,Top 25
292,1923,Stolen Bases,Eddie Collins,Chicago,48,Top 25
293,1923,Total Bases,Babe Ruth,New York,399,Top 25
294,1923,Triples,Goose Goslin,Washington,18,Top 25
295,1924,Base on Balls,Babe Ruth,New York,142,Top 25
296,1924,Batting Average,Babe Ruth,New York,.378,Top 25
297,1924,Doubles,Harry Heilmann,Detroit,45,Top 25
298,1924,Doubles,Joe Sewell,Cleveland,45,Top 25
299,1924,Hits,Sam Rice,Washington,216,Top 25
300,1924,Home Runs,Babe Ruth,New York,46,Top 25
301,1924,On Base Percentage,Babe Ruth,New York,.513,Top 25
302,1924,RBI,Goose Goslin,Washington,129,Top 25
303,1924,Runs,Babe Ruth,New York,143,Top 25
304,1924,Slugging Average,Babe Ruth,New York,.739,Top 25
305,1924,Stolen Bases,Eddie Collins,Chicago,42,Top 25
306,1924,Total Bases,Babe Ruth,New York,391,Top 25
307,1925,Base on Balls,Willie Kamm,Chicago,90,Top 25
308,1925,Base on Balls,Johnny Mostil,Chicago,90,Top 25
309,1925,Batting Average,Harry Heilmann,Detroit,.393,Top 25
310,1925,Doubles,Marty McManus,St. Louis,44,Top 25
311,1925,Hits,Al Simmons,Philadelphia,253,Top 25
312,1925,Home Runs,Bob Meusel,New York,33,Top 25
313,1925,On Base Percentage,Tris Speaker,Cleveland,.479,Top 25
314,1925,RBI,Bob Meusel,New York,138,Top 25
315,1925,Runs,Johnny Mostil,Chicago,135,Top 25
316,1925,Slugging Average,Ken Williams,St. Louis,.613,Top 25
317,1925,Stolen Bases,Johnny Mostil,Chicago,43,Top 25
318,1925,Total Bases,Al Simmons,Philadelphia,392,Top 25
319,1926,Base on Balls,Babe Ruth,New York,144,Top 25
320,1926,Batting Average,Heinie Manush,Detroit,.378,Top 25
321,1926,Doubles,George Burns,Cleveland,64,Top 25
322,1926,Hits,Sam Rice,Washington,216,Top 25
323,1926,Home Runs,Babe Ruth,New York,47,Top 25
324,1926,On Base Percentage,Babe Ruth,New York,.516,Top 25
325,1926,RBI,Babe Ruth,New York,146,Top 25
326,1926,Runs,Babe Ruth,New York,139,Top 25
327,1926,Slugging Average,Babe Ruth,New York,.737,Top 25
328,1926,Stolen Bases,Johnny Mostil,Chicago,35,Top 25
329,1926,Total Bases,Babe Ruth,New York,365,Top 25
330,1927,Base on Balls,Babe Ruth,New York,137,Top 25
331,1927,Batting Average,Harry Heilmann,Detroit,.398,Top 25
332,1927,Doubles,Lou Gehrig,New York,52,Top 25
333,1927,Hits,Earle Combs,New York,231,Top 25
334,1927,Home Runs,Babe Ruth,New York,60,Top 25
335,1927,On Base Percentage,Babe Ruth,New York,.486,Top 25
336,1927,RBI,Lou Gehrig,New York,175,Top 25
337,1927,Runs,Babe Ruth,New York,158,Top 25
338,1927,Slugging Average,Babe Ruth,New York,.772,Top 25
339,1927,Stolen Bases,George Sisler,St. Louis,27,Top 25
340,1927,Total Bases,Lou Gehrig,New York,447,Top 25
341,1927,Triples,Earle Combs,New York,23,Top 25
342,1928,Base on Balls,Babe Ruth,New York,137,Top 25
343,1928,Batting Average,Goose Goslin,Washington,.379,Top 25
344,1928,Doubles,Lou Gehrig,New York,47,Top 25
345,1928,Doubles,Henie Manush,St. Louis,47,Top 25
346,1928,Hits,Henie Manush,St. Louis,241,Top 25
347,1928,Home Runs,Babe Ruth,New York,54,Top 25
348,1928,On Base Percentage,Lou Gehrig,New York,.467,Top 25
349,1928,RBI,Lou Gehrig,New York,142,Top 25
350,1928,RBI,Babe Ruth,New York,142,Top 25
351,1928,Runs,Babe Ruth,New York,163,Top 25
352,1928,Slugging Average,Babe Ruth,New York,.709,Top 25
353,1928,Stolen Bases,Buddy Myer,Boston,30,Top 25
354,1928,Total Bases,Babe Ruth,New York,380,Top 25
355,1929,Base on Balls,Max Bishop,Philadelphia,128,Top 25
356,1929,Batting Average,Lew Fonseca,Cleveland,.369,Top 25
357,1929,Doubles,Charlie Gehringer,Detroit,45,Top 25
358,1929,Doubles,Roy Johnson,Detroit,45,Top 25
359,1929,Doubles,Henie Manush,St. Louis,45,Top 25
360,1929,Hits,Dale Alexander,Detroit,215,Top 25
361,1929,Hits,Charlie Gehringer,Detroit,215,Top 25
362,1929,Home Runs,Babe Ruth,New York,46,Top 25
363,1929,On Base Percentage,Jimmie Foxx,Philadelphia,.463,Top 25
364,1929,RBI,Al Simmons,Philadelphia,157,Top 25
